District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
PAINTSVILLE,,,,,,,,,,,,,,77,89,85,91,92,96,98,,,,,,,,,,,,,,95.1,,
PARIS,,,,,,,,,,,,,,91,88,83,89,100,96,89,,,,,,,,,,,,,,93.5,,
PENDLETON ,,,,,,,,,,,,,,91,91,89,92,84,92,91,,,,,,,,,,,,,,98.2,,
PERRY ,,,,,,,,,,,,,,68,78,79,86,89,89,90,,,,,,,,,,,,,,91,,
PIKE ,,,,,,,,,,,,,,84,82,82,86,85,81,82,,,,,,,,,,,,,,88.3,,
PIKEVILLE,,,,,,,,,,,,,,83,91,92,94,84,92,93,,,,,,,,,,,,,,83.8,,
PINEVILLE,,,,,,,,,,,,,,85,83,82,88,74,95,98,,,,,,,,,,,,,,89.6,,
POWELL ,,,,,,,,,,,,,,68,67,75,79,83,87,87,,,,,,,,,,,,,,89,,
PROVIDENCE,,,,,,,,,,,,,,89,100,94,97,,84,,,,,,,,,,,,,,,,,
PULASKI ,,,,,,,,,,,,,,79,82,83,83,85,85,86,,,,,,,,,,,,,,95.2,,
RACELAND,,,,,,,,,,,,,,99,96,97,95,96,100,92,,,,,,,,,,,,,,88.5,,
ROBERTSON ,,,,,,,,,,,,,,82,78,75,90,82,76,86,,,,,,,,,,,,,,100,,
ROCKCASTLE ,,,,,,,,,,,,,,77,85,92,85,93,92,92,,,,,,,,,,,,,,92.5,,
ROWAN ,,,,,,,,,,,,,,80,87,90,78,86,85,88,,,,,,,,,,,,,,96.4,,
RUSSELL ,,,,,,,,,,,,,,70,72,81,70,90,91,95,,,,,,,,,,,,,,94.8,,
RUSSELL,,,,,,,,,,,,,,95,96,93,92,92,96,97,,,,,,,,,,,,,,98.3,,
RUSSELLVILLE,,,,,,,,,,,,,,89,84,92,85,89,90,83,,,,,,,,,,,,,,98.7,,
SCIENCE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT ,,,,,,,,,,,,,,77,77,81,81,86,85,83,,,,,,,,,,,,,,92.4,,
SHELBY ,,,,,,,,,,,,,,78,85,86,86,81,86,88,,,,,,,,,,,,,,89.3,,
SILVER GROVE,,,,,,,,,,,,,,94,100,88,100,100,74,74,,,,,,,,,,,,,,,,
SIMPSON ,,,,,,,,,,,,,,87,80,80,82,86,86,84,,,,,,,,,,,,,,95.6,,
SOMERSET,,,,,,,,,,,,,,85,80,91,88,88,86,85,,,,,,,,,,,,,,95.9,,
SOUTHGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPENCER ,,,,,,,,,,,,,,89,87,89,88,94,87,91,,,,,,,,,,,,,,93.7,,
TAYLOR ,,,,,,,,,,,,,,90,89,91,89,92,90,94,,,,,,,,,,,,,,88.2,,
TODD ,,,,,,,,,,,,,,85,79,84,92,82,92,90,,,,,,,,,,,,,,91.1,,
TRIGG ,,,,,,,,,,,,,,78,86,81,84,83,86,90,,,,,,,,,,,,,,95.5,,
TRIMBLE ,,,,,,,,,,,,,,87,88,86,84,89,87,84,,,,,,,,,,,,,,94.1,,
UNION ,,,,,,,,,,,,,,81,76,77,82,82,82,89,,,,,,,,,,,,,,90.8,,
WALTON VERONA,,,,,,,,,,,,,,99,100,97,98,100,100,98,,,,,,,,,,,,,,98.5,,
WARREN ,,,,,,,,,,,,,,87,89,91,91,89,91,89,,,,,,,,,,,,,,95.4,,
WASHINGTON ,,,,,,,,,,,,,,84,81,88,94,94,88,89,,,,,,,,,,,,,,96.7,,
WAYNE ,,,,,,,,,,,,,,74,77,84,84,88,88,93,,,,,,,,,,,,,,97.3,,
WEBSTER ,,,,,,,,,,,,,,84,86,84,86,84,88,92,,,,,,,,,,,,,,95.4,,
WEST POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITLEY ,,,,,,,,,,,,,,79,77,79,87,80,82,88,,,,,,,,,,,,,,91,,
WILLIAMSBURG,,,,,,,,,,,,,,84,93,97,93,95,100,99,,,,,,,,,,,,,,97.3,,
WILLIAMSTOWN,,,,,,,,,,,,,,77,84,78,76,92,90,86,,,,,,,,,,,,,,96.7,,
WOLFE ,,,,,,,,,,,,,,76,79,93,99,99,98,92,,,,,,,,,,,,,,89.5,,
WOODFORD ,,,,,,,,,,,,,,86,89,89,93,91,92,92,,,,,,,,,,,,,,95.9,,
